Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1646525390.7738109,37146,0,0,,-0.2793,0.7035,-0.2646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.798471,37147,0,0,,-0.2764,0.7005,-0.2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.8233705,37148,0,0,,-0.2783,0.7044,-0.2645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.8483646,37149,0,0,,-0.2821,0.7064,-0.2614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.873127,37150,0,0,,-0.2842,0.7025,-0.2703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.898113,37151,0,0,,-0.2822,0.7035,-0.2658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.9230525,37152,0,0,,-0.2802,0.7054,-0.2657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.9479387,37153,0,0,,-0.2852,0.6996,-0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.9731007,37154,0,0,,-0.285,0.7133,-0.2693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525390.9976797,37155,0,0,,-0.2851,0.7055,-0.2704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.0236514,37156,0,0,,-0.288,0.7026,-0.2682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646525391.0486407,37157,0,0,,-0.286,0.7104,-0.2716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
