Time,GPS_Data.seq,GPS_Data.stamp.secs,GPS_Data.stamp.nsecs,GPS_Data.frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter
1646525176.2279658,0,0,0,,42.205923000000006,-71.051395,12.4,330653.6024373595,4674677.114601058,19,T
1646525177.230873,0,0,0,,42.205914,-71.051385,12.6,330654.4039429709,4674676.095376584,19,T
1646525178.2316399,0,0,0,,42.205905,-71.051376,12.9,330655.1228934778,4674675.078138726,19,T
1646525179.2315998,0,0,0,,42.205896,-71.051366,13.5,330655.92439955426,4674674.058914443,19,T
1646525180.2316737,0,0,0,,42.205886,-71.051356,14.0,330656.7232339574,4674672.92865035,19,T
1646525181.2313244,0,0,0,,42.205873000000004,-71.051343,14.5,330657.7617190748,4674671.4593071835,19,T
1646525182.23187,0,0,0,,42.205859000000004,-71.051327,15.3,330659.04519896803,4674669.872964863,19,T
1646525183.2328362,0,0,0,,42.205838,-71.051307,15.9,330660.6401982084,4674667.501397655,19,T
1646525184.2371092,0,0,0,,42.205813,-71.051285,16.6,330662.3896222133,4674664.681698374,19,T
1646525185.2302716,0,0,0,,42.205788000000005,-71.05126,17.4,330664.38671415637,4674661.856040362,19,T
1646525186.2312937,0,0,0,,42.205763,-71.05123400000001,18.1,330666.4663632857,4674659.028396593,19,T
1646525187.2343695,0,0,0,,42.205740999999996,-71.05121100000001,19.4,330668.30636261305,4674656.539832273,19,T
1646525188.2372038,0,0,0,,42.205721999999994,-71.051196,20.8,330669.49393370666,4674654.400278892,19,T
1646525189.2351913,0,0,0,,42.205707000000004,-71.05118900000001,22.0,330670.03174747794,4674652.720776002,19,T
1646525190.236474,0,0,0,,42.205699,-71.05118499999999,23.2,330670.3405964359,4674651.824511459,19,T
1646525191.2363665,0,0,0,,42.205699,-71.051184,23.2,330670.4231520422,4674651.822525128,19,T
1646525192.2339284,0,0,0,,42.205699,-71.051184,23.3,330670.4231520422,4674651.822525128,19,T
1646525193.2320278,0,0,0,,42.205699,-71.051184,23.3,330670.4231520422,4674651.822525128,19,T
1646525194.2359338,0,0,0,,42.205699,-71.051184,23.4,330670.4231520422,4674651.822525128,19,T
1646525195.2360504,0,0,0,,42.205699,-71.051184,23.4,330670.4231520422,4674651.822525128,19,T
1646525196.2351882,0,0,0,,42.2057,-71.051184,23.4,330670.42582371994,4674651.933565029,19,T
1646525197.2383988,0,0,0,,42.2057,-71.051184,23.5,330670.42582371994,4674651.933565029,19,T
1646525198.2350273,0,0,0,,42.2057,-71.051184,23.5,330670.42582371994,4674651.933565029,19,T
1646525199.2350597,0,0,0,,42.2057,-71.051184,23.5,330670.42582371994,4674651.933565029,19,T
1646525200.2350285,0,0,0,,42.2057,-71.051184,23.5,330670.42582371994,4674651.933565029,19,T
1646525201.2333086,0,0,0,,42.2057,-71.051184,23.5,330670.42582371994,4674651.933565029,19,T
1646525202.2359686,0,0,0,,42.2057,-71.051183,23.6,330670.50837932917,4674651.931578698,19,T
1646525203.2320368,0,0,0,,42.2057,-71.051183,23.6,330670.50837932917,4674651.931578698,19,T
1646525204.2336385,0,0,0,,42.2057,-71.051183,23.6,330670.50837932917,4674651.931578698,19,T
1646525205.2386448,0,0,0,,42.2057,-71.051183,23.6,330670.50837932917,4674651.931578698,19,T
1646525206.2326338,0,0,0,,42.2057,-71.051183,23.6,330670.50837932917,4674651.931578698,19,T
1646525207.2345934,0,0,0,,42.2057,-71.051183,23.7,330670.50837932917,4674651.931578698,19,T
1646525208.2376575,0,0,0,,42.2057,-71.051183,23.7,330670.50837932917,4674651.931578698,19,T
1646525209.229552,0,0,0,,42.2057,-71.051183,23.7,330670.50837932917,4674651.931578698,19,T
1646525210.2312915,0,0,0,,42.205701,-71.051183,23.7,330670.5110510057,4674652.042618599,19,T
1646525211.2328062,0,0,0,,42.205701,-71.051183,23.7,330670.5110510057,4674652.042618599,19,T
1646525212.2355542,0,0,0,,42.205701,-71.051183,23.8,330670.5110510057,4674652.042618599,19,T
1646525213.2364018,0,0,0,,42.205701,-71.051183,23.8,330670.5110510057,4674652.042618599,19,T
1646525214.2322516,0,0,0,,42.205702,-71.051183,23.8,330670.51372268226,4674652.1536585,19,T
1646525215.2382236,0,0,0,,42.205702,-71.051183,23.8,330670.51372268226,4674652.1536585,19,T
1646525216.232961,0,0,0,,42.205702,-71.051182,23.8,330670.5962782847,4674652.151672171,19,T
1646525217.2365353,0,0,0,,42.205702,-71.051182,23.8,330670.5962782847,4674652.151672171,19,T
1646525218.2351716,0,0,0,,42.205702,-71.051182,23.9,330670.5962782847,4674652.151672171,19,T
1646525219.237029,0,0,0,,42.205702,-71.051182,23.9,330670.5962782847,4674652.151672171,19,T
1646525220.2349455,0,0,0,,42.205703,-71.051182,23.9,330670.59894995997,4674652.262712072,19,T
1646525221.252482,0,0,0,,42.205703,-71.051182,23.9,330670.59894995997,4674652.262712072,19,T
1646525222.238208,0,0,0,,42.205703,-71.051182,23.9,330670.59894995997,4674652.262712072,19,T
1646525223.2400362,0,0,0,,42.205703,-71.051182,23.9,330670.59894995997,4674652.262712072,19,T
1646525224.2384417,0,0,0,,42.205704,-71.051182,23.9,330670.6016216354,4674652.373751972,19,T
1646525225.2391248,0,0,0,,42.205704,-71.051182,23.9,330670.6016216354,4674652.373751972,19,T
1646525226.238692,0,0,0,,42.205704999999995,-71.051182,24.0,330670.6042933108,4674652.484791874,19,T
1646525227.2403896,0,0,0,,42.205704999999995,-71.051182,24.0,330670.6042933108,4674652.484791874,19,T
1646525228.2400594,0,0,0,,42.205706,-71.051181,24.1,330670.68952058756,4674652.593845447,19,T
1646525229.2396195,0,0,0,,42.205707000000004,-71.051181,24.1,330670.6921922618,4674652.704885346,19,T
1646525230.239866,0,0,0,,42.205708,-71.051181,24.2,330670.69486393617,4674652.815925247,19,T
1646525231.2386088,0,0,0,,42.205709,-71.05118,24.2,330670.7800912037,4674652.924978821,19,T
1646525232.2389092,0,0,0,,42.205709,-71.05118,24.2,330670.7800912037,4674652.924978821,19,T
1646525233.2426586,0,0,0,,42.205709999999996,-71.05118,24.3,330670.78276287677,4674653.036018722,19,T
1646525234.2376664,0,0,0,,42.205709999999996,-71.05118,24.3,330670.78276287677,4674653.036018722,19,T
1646525235.237463,0,0,0,,42.205709999999996,-71.05118,24.3,330670.78276287677,4674653.036018722,19,T
1646525236.2432075,0,0,0,,42.205709999999996,-71.05118,24.3,330670.78276287677,4674653.036018722,19,T
1646525237.2429044,0,0,0,,42.205711,-71.05118,24.3,330670.7854345499,4674653.147058623,19,T
1646525238.2404635,0,0,0,,42.205711,-71.05118,24.3,330670.7854345499,4674653.147058623,19,T
1646525239.2406323,0,0,0,,42.205711,-71.05118,24.3,330670.7854345499,4674653.147058623,19,T
1646525240.2398195,0,0,0,,42.205719,-71.051179,24.4,330670.88936351903,4674654.033391506,19,T
1646525241.2394273,0,0,0,,42.205721999999994,-71.051178,24.2,330670.9799341145,4674654.364524881,19,T
1646525242.2341745,0,0,0,,42.205721999999994,-71.051178,24.2,330670.9799341145,4674654.364524881,19,T
1646525243.238893,0,0,0,,42.205721999999994,-71.051178,24.2,330670.9799341145,4674654.364524881,19,T
1646525244.2340474,0,0,0,,42.205721999999994,-71.051178,24.2,330670.9799341145,4674654.364524881,19,T
1646525245.23668,0,0,0,,42.205721999999994,-71.051178,24.2,330670.9799341145,4674654.364524881,19,T
1646525246.2293973,0,0,0,,42.205721999999994,-71.051178,24.2,330670.9799341145,4674654.364524881,19,T
1646525247.2348156,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525248.2369416,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525249.2361362,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525250.2297716,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525251.2338572,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525252.2309568,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525253.2360806,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525254.2329233,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525255.230743,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525256.2367098,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525257.2342572,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525258.2356768,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525259.23558,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525260.2330768,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525261.2372017,0,0,0,,42.205723,-71.051178,24.2,330670.9826057856,4674654.475564783,19,T
1646525262.2328506,0,0,0,,42.205724000000004,-71.051177,24.2,330671.0678330326,4674654.584618361,19,T
1646525263.240959,0,0,0,,42.205725,-71.051179,23.8,330670.90539355355,4674654.699630912,19,T
1646525264.2446063,0,0,0,,42.205724000000004,-71.051179,23.5,330670.90272188105,4674654.588591011,19,T
1646525265.2417967,0,0,0,,42.205726999999996,-71.05117100000001,24.1,330671.5711814716,4674654.905820137,19,T
1646525266.2393317,0,0,0,,42.20571700000001,-71.051158,24.1,330672.6176874485,4674653.769599069,19,T
1646525267.2421355,0,0,0,,42.2057,-71.05114400000001,23.8,330673.72804798774,4674651.85411257,19,T
1646525268.2426696,0,0,0,,42.205692,-71.05112600000001,24.0,330675.19267609133,4674650.930040267,19,T
1646525269.2411761,0,0,0,,42.205685,-71.051113,23.9,330676.2471980164,4674650.1269394765,19,T
1646525270.2416902,0,0,0,,42.20568,-71.051103,23.4,330677.0593964228,4674649.551877405,19,T
1646525271.2412694,0,0,0,,42.205674,-71.051097,23.1,330677.5387008361,4674648.873720511,19,T
1646525272.2410767,0,0,0,,42.20567,-71.051092,23.0,330677.9407928112,4674648.419629691,19,T
1646525273.2408397,0,0,0,,42.205664999999996,-71.051085,22.9,330678.5053245941,4674647.850526526,19,T
1646525274.2431345,0,0,0,,42.205661,-71.05108100000001,22.7,330678.8248610367,4674647.398421998,19,T
1646525275.2415812,0,0,0,,42.205658,-71.051079,22.6,330678.98195773514,4674647.061329839,19,T
1646525276.2428095,0,0,0,,42.205658,-71.051078,22.5,330679.0645133944,4674647.05934361,19,T
1646525277.2408378,0,0,0,,42.205658,-71.051078,22.5,330679.0645133944,4674647.05934361,19,T
1646525278.2424161,0,0,0,,42.205658,-71.051078,22.5,330679.0645133944,4674647.05934361,19,T
1646525279.2428398,0,0,0,,42.205659,-71.05107699999999,22.5,330679.14974059386,4674647.168397282,19,T
1646525280.2432814,0,0,0,,42.205659,-71.05107699999999,22.4,330679.14974059386,4674647.168397282,19,T
1646525281.2423885,0,0,0,,42.205659,-71.05107699999999,22.4,330679.14974059386,4674647.168397282,19,T
1646525282.2425919,0,0,0,,42.205659999999995,-71.05107600000001,22.3,330679.2349677867,4674647.277450956,19,T
1646525283.2418659,0,0,0,,42.205656,-71.051074,22.2,330679.3893929753,4674646.829318908,19,T
1646525284.2416925,0,0,0,,42.205647,-71.051072,22.1,330679.53046053776,4674645.82598737,19,T
1646525285.2413752,0,0,0,,42.205635,-71.05107699999999,22.2,330679.08562374086,4674644.503439702,19,T
