%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter,field.quality
1645227308104739099,887,1645227308103185176,gps_data,42.33725833333333,-71.09234833333333,14.9,327631.074479287,4689342.928420048,19,T,5
1645227309088622171,888,1645227309086955547,gps_data,42.33725666666667,-71.09234,14.9,327631.75645935885,4689342.726456638,19,T,5
1645227310102842832,889,1645227310101011037,gps_data,42.337255,-71.09233333333333,14.9,327632.3011326843,4689342.527871827,19,T,5
1645227311080892678,890,1645227311077342987,gps_data,42.337255,-71.09232666666666,14.9,327632.8503598183,4689342.514357729,19,T,5
1645227312092661514,891,1645227312091253519,gps_data,42.337255,-71.09231833333334,14.8,327633.5368937323,4689342.497465165,19,T,5
1645227313073858312,892,1645227313070035457,gps_data,42.337255,-71.09231,14.7,327634.2234276503,4689342.48057267,19,T,5
1645227314107098688,893,1645227314105501413,gps_data,42.33725333333334,-71.09230333333333,14.8,327634.7681010547,4689342.281988051,19,T,5
1645227315085349181,894,1645227315082589149,gps_data,42.33725166666667,-71.092295,14.7,327635.45008127554,4689342.080025007,19,T,5
1645227316098095542,895,1645227316097357034,gps_data,42.33725166666667,-71.09228666666667,14.8,327636.1366152287,4689342.0631327,19,T,5
1645227317077740271,896,1645227317075153112,gps_data,42.33725166666667,-71.09228,14.7,327636.6858423882,4689342.049618902,19,T,5
1645227318074762430,897,1645227318072144031,gps_data,42.33725,-71.09227166666666,14.8,327637.36782267917,4689341.847656045,19,T,5
1645227319075253989,898,1645227319072795391,gps_data,42.337246666666665,-71.092265,14.8,327637.9079425652,4689341.464001008,19,T,2
1645227320068088162,899,1645227320067399263,gps_data,42.33724333333333,-71.09225833333333,15.0,327638.44806250976,4689341.080346012,19,T,2
1645227321085201071,900,1645227321084476709,gps_data,42.337241666666664,-71.09225166666667,15.2,327638.9927361257,4689340.88176173,19,T,5
1645227322082499796,901,1645227322080343723,gps_data,42.33724,-71.092245,15.3,327639.53740977054,4689340.68317749,19,T,5
1645227323074861603,902,1645227323074149847,gps_data,42.33723833333333,-71.09223833333333,15.3,327640.08208344656,4689340.484593295,19,T,5
1645227324073013865,903,1645227324070402383,gps_data,42.33723666666667,-71.092235,15.1,327640.3521435062,4689340.292765879,19,T,2
1645227325068565875,904,1645227325066260814,gps_data,42.337235,-71.09223166666666,15.1,327640.6222035805,4689340.100938472,19,T,2
1645227326081878768,905,1645227326079862833,gps_data,42.337235,-71.09222833333334,14.9,327640.8968172309,4689340.094181746,19,T,5
1645227327099313519,906,1645227327096646070,gps_data,42.33723333333333,-71.092225,14.8,327641.1668773291,4689339.902354363,19,T,5
1645227328074044719,907,1645227328073530673,gps_data,42.337235,-71.09222333333334,14.8,327641.3087377085,4689340.084046678,19,T,5
1645227329113617914,908,1645227329111329793,gps_data,42.33724,-71.09222333333334,14.7,327641.3223983675,4689340.639258685,19,T,5
1645227330069970430,909,1645227330069348096,gps_data,42.337245,-71.09222166666666,14.6,327641.4733658333,4689341.191092341,19,T,5
1645227331067129577,910,1645227331066388368,gps_data,42.33725166666667,-71.09222,14.7,327641.6288868256,4689341.927996669,19,T,5
1645227332083299425,911,1645227332080854177,gps_data,42.33725833333333,-71.09221833333334,14.9,327641.784407789,4689342.664901,19,T,5
1645227333099353385,912,1645227333096878051,gps_data,42.337265,-71.09221833333334,14.9,327641.802621966,4689343.405183678,19,T,5
1645227334074520053,913,1645227334073966026,gps_data,42.337273333333336,-71.09221666666667,14.9,327641.96269643214,4689344.327158683,19,T,5
1645227335114702449,914,1645227335112306833,gps_data,42.33727833333333,-71.09221666666667,14.5,327641.97635705763,4689344.882370692,19,T,5
1645227336085145952,915,1645227336084448337,gps_data,42.33728333333333,-71.092215,14.5,327642.1273244064,4689345.4342043605,19,T,5
1645227337108294665,916,1645227337107676982,gps_data,42.33729,-71.09221333333333,14.5,327642.28284527047,4689346.171108704,19,T,5
1645227338075546614,917,1645227338073060512,gps_data,42.337295,-71.09221333333333,14.0,327642.2965058787,4689346.726320713,19,T,5
1645227339075782135,918,1645227339073592901,gps_data,42.3373,-71.09221333333333,13.5,327642.31016648817,4689347.281532726,19,T,5
1645227340072118795,919,1645227340069509983,gps_data,42.33730666666666,-71.09221166666667,13.6,327642.4656873031,4689348.018437072,19,T,5
1645227341088338137,920,1645227341086120843,gps_data,42.337311666666665,-71.09221166666667,14.2,327642.4793479048,4689348.573649083,19,T,5
1645227342084447915,921,1645227342082362174,gps_data,42.337315,-71.092215,14.3,327642.2138416717,4689348.950547099,19,T,5
1645227343079467674,922,1645227343077453851,gps_data,42.337316666666666,-71.09222,14.4,327641.8064752699,4689349.145752801,19,T,5
1645227344076775018,923,1645227344075196504,gps_data,42.337318333333336,-71.092225,14.5,327641.39910888986,4689349.340958527,19,T,5
1645227345068864931,924,1645227345066954851,gps_data,42.33732,-71.09223166666666,14.5,327640.85443588946,4689349.539542642,19,T,5
1645227346083487617,925,1645227346081135511,gps_data,42.33732166666667,-71.09223833333333,14.6,327640.30976291804,4689349.7381268,19,T,5
1645227347082461238,926,1645227347081923246,gps_data,42.337325,-71.092245,15.0,327639.7696435834,4689350.121781674,19,T,5
1645227348075643658,927,1645227348073386669,gps_data,42.33732833333333,-71.09225333333333,14.8,327639.0922176874,4689350.508814992,19,T,5
1645227349074980092,928,1645227349072559118,gps_data,42.33732833333333,-71.09226166666667,15.0,327638.4056845706,4689350.525707033,19,T,2
1645227350076544619,929,1645227350075122833,gps_data,42.33733,-71.09227,15.3,327637.7237051205,4689350.727669815,19,T,5
1645227351121085901,930,1645227351118494987,gps_data,42.337331666666664,-71.09228,14.8,327636.9044190873,4689350.933011107,19,T,5
1645227352084366015,931,1645227352082600593,gps_data,42.337331666666664,-71.09229,14.7,327636.0805793907,4689350.953281824,19,T,5
1645227353107223698,932,1645227353104738712,gps_data,42.33733333333333,-71.09229833333333,14.6,327635.3986000377,4689351.155244834,19,T,5
1645227354080756472,933,1645227354079461574,gps_data,42.337336666666666,-71.09230666666667,14.5,327634.7211744599,4689351.542278585,19,T,5
1645227355100747846,934,1645227355100125551,gps_data,42.337338333333335,-71.09231333333334,14.7,327634.1765017961,4689351.740863232,19,T,5
1645227356077073617,935,1645227356076551675,gps_data,42.33734,-71.09232166666666,14.9,327633.4945225662,4689351.942826431,19,T,5
1645227357097078067,936,1645227357096468210,gps_data,42.33734166666667,-71.09233,14.8,327632.81254336826,4689352.1447896985,19,T,5
1645227358074863929,937,1645227358074309825,gps_data,42.33734333333334,-71.09234,14.8,327631.9932576184,4689352.350131575,19,T,5
1645227359097976678,938,1645227359096535444,gps_data,42.337345,-71.09234666666667,15.2,327631.4485850848,4689352.548716436,19,T,5
1645227360075470357,939,1645227360072891473,gps_data,42.33734666666667,-71.092355,15.2,327630.76660599944,4689352.750679906,19,T,5
1645227361093429187,940,1645227361092800140,gps_data,42.33734833333333,-71.09236333333334,15.2,327630.0846269459,4689352.952643444,19,T,5
1645227362074812582,941,1645227362072448968,gps_data,42.33734833333333,-71.09237166666666,15.1,327629.3980940466,4689352.969536376,19,T,5
1645227363095581233,942,1645227363092240333,gps_data,42.33735,-71.09238,15.3,327628.7161150471,4689353.1715000495,19,T,2
1645227364070520593,943,1645227364069932937,gps_data,42.33735166666666,-71.09238833333333,14.9,327628.0341360878,4689353.373463789,19,T,5
1645227365112553027,944,1645227365110046386,gps_data,42.33735333333333,-71.09239833333334,14.9,327627.21485059167,4689353.578806234,19,T,5
1645227366094876910,945,1645227366092672824,gps_data,42.337355,-71.09240666666666,14.7,327626.5328717062,4689353.780770123,19,T,5
1645227367093555555,946,1645227367092929840,gps_data,42.337356666666665,-71.09241333333334,14.6,327625.9881994183,4689353.979355416,19,T,5
1645227368091334100,947,1645227368087787628,gps_data,42.337356666666665,-71.09242,14.8,327625.43897316745,4689353.99287008,19,T,5
1645227369111136749,948,1645227369108844280,gps_data,42.337358333333334,-71.092425,14.8,327625.03160748305,4689354.188076781,19,T,5
1645227370086178794,949,1645227370084304809,gps_data,42.33736,-71.09242833333333,15.0,327624.7615483771,4689354.37990482,19,T,5
1645227371105619849,950,1645227371103179216,gps_data,42.337356666666665,-71.09243,15.0,327624.61513379274,4689354.013142156,19,T,5
1645227372078603646,951,1645227372077085733,gps_data,42.33735333333333,-71.09243166666667,15.0,327624.4687191944,4689353.646379497,19,T,5
1645227373116686735,952,1645227373114487886,gps_data,42.33735,-71.092435,15.0,327624.1849980079,4689353.282995534,19,T,5
1645227374089476894,953,1645227374088031530,gps_data,42.337345,-71.09243833333333,14.9,327623.8967227598,4689352.734540908,19,T,5
1645227375105622242,954,1645227375105215311,gps_data,42.33734,-71.09244,15.0,327623.74575406965,4689352.182707587,19,T,5
1645227376086718510,955,1645227376086111307,gps_data,42.337335,-71.09244333333334,15.2,327623.4574787479,4689351.6342529785,19,T,5
1645227377085481174,956,1645227377083914995,gps_data,42.337331666666664,-71.09244666666666,15.3,327623.17375743156,4689351.270869053,19,T,5
1645227378102873240,957,1645227378100541353,gps_data,42.33732666666667,-71.09245166666666,15.3,327622.7481754047,4689350.725793187,19,T,5
1645227379080274538,958,1645227379077290058,gps_data,42.33732166666667,-71.092455,15.3,327622.4598999518,4689350.177338613,19,T,5
1645227380075940353,959,1645227380073543787,gps_data,42.337316666666666,-71.09245833333334,15.3,327622.1716244567,4689349.628884054,19,T,5
1645227381112636992,960,1645227381112237453,gps_data,42.337311666666665,-71.09246,15.3,327622.0206555815,4689349.077050767,19,T,5
1645227382085622600,961,1645227382085130929,gps_data,42.33730833333333,-71.09246333333333,15.3,327621.7369340947,4689348.713666896,19,T,5
1645227383105061348,962,1645227383101504325,gps_data,42.33730333333333,-71.092465,15.5,327621.5859651686,4689348.161833619,19,T,5
1645227384076289241,963,1645227384075569152,gps_data,42.33729833333334,-71.09246833333333,15.6,327621.297689535,4689347.613379091,19,T,5
1645227385098509740,964,1645227385096360445,gps_data,42.337295,-71.09247166666667,15.7,327621.013967956,4689347.2499952465,19,T,5
1645227386092702125,965,1645227386092038393,gps_data,42.337291666666665,-71.092475,15.8,327620.73024634854,4689346.886611414,19,T,5
1645227387069848791,966,1645227387067581653,gps_data,42.33728833333333,-71.09247666666667,15.9,327620.58383142354,4689346.51984883,19,T,5
1645227388105730872,967,1645227388103465318,gps_data,42.337285,-71.09247666666667,16.0,327620.57472320506,4689346.149707484,19,T,5
1645227389081043386,968,1645227389079632997,gps_data,42.33728333333333,-71.09247833333333,16.1,327620.4328623762,4689345.968015574,19,T,5
1645227390088239621,969,1645227390087706089,gps_data,42.33728333333333,-71.09247833333333,16.2,327620.4328623762,4689345.968015574,19,T,5
1645227391087768331,970,1645227391086685180,gps_data,42.337285,-71.09247833333333,16.3,327620.4374164889,4689346.153086248,19,T,5
1645227392085652082,971,1645227392083663940,gps_data,42.337285,-71.09247833333333,16.4,327620.4374164889,4689346.153086248,19,T,5
1645227393086238242,972,1645227393084420919,gps_data,42.337285,-71.09247666666667,16.5,327620.57472320506,4689346.149707484,19,T,5
1645227394084657841,973,1645227394081367015,gps_data,42.337285,-71.09247666666667,16.5,327620.57472320506,4689346.149707484,19,T,5
1645227395099384293,974,1645227395097180128,gps_data,42.337285,-71.09247666666667,16.6,327620.57472320506,4689346.149707484,19,T,5
1645227396076707839,975,1645227396076199769,gps_data,42.337285,-71.09247666666667,16.7,327620.57472320506,4689346.149707484,19,T,5
1645227397104578983,976,1645227397100397109,gps_data,42.337285,-71.09247666666667,16.7,327620.57472320506,4689346.149707484,19,T,5
1645227398074636644,977,1645227398072408676,gps_data,42.337285,-71.09247666666667,16.6,327620.57472320506,4689346.149707484,19,T,5
1645227399111158335,978,1645227399108834505,gps_data,42.337285,-71.09247666666667,16.4,327620.57472320506,4689346.149707484,19,T,5
1645227400074594438,979,1645227400072381734,gps_data,42.337285,-71.09247666666667,16.2,327620.57472320506,4689346.149707484,19,T,5
1645227401112910211,980,1645227401110396623,gps_data,42.337285,-71.09247666666667,16.1,327620.57472320506,4689346.149707484,19,T,5
1645227402089227269,981,1645227402087327480,gps_data,42.337286666666664,-71.09247666666667,16.0,327620.57927731425,4689346.334778157,19,T,5
1645227403105616746,982,1645227403103530406,gps_data,42.337286666666664,-71.09247666666667,16.0,327620.57927731425,4689346.334778157,19,T,5
1645227404078541167,983,1645227404076468467,gps_data,42.337286666666664,-71.09247666666667,16.0,327620.57927731425,4689346.334778157,19,T,5
1645227405115637926,984,1645227405113730192,gps_data,42.337286666666664,-71.09247666666667,15.9,327620.57927731425,4689346.334778157,19,T,5
