%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1644338320623400428,38,1644338320622955322,,42.34122333333333,-71.09719166666666,7.6,327242.92000309867,4689793.041260379,19.0,T
1644338321646142550,39,1644338321645697832,,42.34122,-71.097195,7.7,327242.63627727213,4689792.677891567,19.0,T
1644338322631987105,40,1644338322631598711,,42.34121833333333,-71.09719833333334,7.7,327242.3571161574,4689792.4995936025,19.0,T
1644338323649426671,41,1644338323648797273,,42.341215,-71.0972,7.7,327242.2106884798,4689792.132838368,19.0,T
1644338324647958179,42,1644338324647516489,,42.341213333333336,-71.09720333333334,7.7,327241.93152733275,4689791.954540421,19.0,T
1644338325648585139,43,1644338325648148536,,42.34121,-71.097205,7.7,327241.7850996212,4689791.587785196,19.0,T
1644338326626989832,44,1644338326626599788,,42.341208333333334,-71.09720833333333,7.7,327241.50593844405,4689791.409487263,19.0,T
1644338327635015060,45,1644338327634575366,,42.341206666666665,-71.09721,7.8,327241.3640754675,4689791.227802881,19.0,T
1644338328632673893,46,1644338328632282972,,42.34120333333333,-71.09721333333333,7.8,327241.080349491,4689790.864434129,19.0,T
1644338329651305811,47,1644338329650665283,,42.3412,-71.097215,7.9,327240.9339217136,4689790.497678922,19.0,T
1644338330628722076,48,1644338330628326892,,42.34119666666667,-71.09721833333333,8.0,327240.6501956895,4689790.134310186,19.0,T
1644338331653603340,49,1644338331653111457,,42.341195,-71.09722166666667,8.0,327240.37103442615,4689789.956012295,19.0,T
1644338332639813202,50,1644338332639371156,,42.34119166666667,-71.097225,8.0,327240.0873083498,4689789.59264358,19.0,T
1644338333651602069,51,1644338333651157855,,42.341188333333335,-71.09722833333333,8.1,327239.8035822471,4689789.229274876,19.0,T
1644338334636550086,52,1644338334636157751,,42.341185,-71.09723166666667,8.1,327239.5198561117,4689788.865906184,19.0,T
1644338335653295224,53,1644338335652856588,,42.34118333333333,-71.09723333333334,8.2,327239.37799303746,4689788.68422184,19.0,T
1644338336653363034,54,1644338336652922630,,42.34118,-71.09723666666666,8.1,327239.09426686144,4689788.3208531635,19.0,T
1644338337638883483,55,1644338337638278484,,42.34117666666667,-71.09723833333334,7.9,327238.9478389355,4689787.954097994,19.0,T
1644338338649451307,56,1644338338649011373,,42.341175,-71.09724166666666,8.0,327238.6686775427,4689787.775800169,19.0,T
1644338339656863500,57,1644338339656425476,,42.34117166666667,-71.097245,8.0,327238.3849512974,4689787.412431519,19.0,T
1644338340655382897,58,1644338340654940366,,42.341168333333336,-71.09724833333334,8.1,327238.10122501943,4689787.04906288,19.0,T
1644338341640856739,59,1644338341640262126,,42.341166666666666,-71.09725,8.2,327237.9593618718,4689786.867378565,19.0,T
1644338342635328448,60,1644338342634943485,,42.341163333333334,-71.09725333333333,8.2,327237.6756355531,4689786.504009942,19.0,T
1644338343658505494,61,1644338343658085823,,42.34116,-71.09725666666667,8.2,327237.39190920803,4689786.140641329,19.0,T
1644338344651861846,62,1644338344651430368,,42.34115833333333,-71.09726,8.3,327237.11274770176,4689785.962343562,19.0,T
1644338345643146244,63,1644338345642523765,,42.341155,-71.09726333333333,8.3,327236.82902130653,4689785.598974972,19.0,T
1644338346644044271,64,1644338346643617630,,42.34115166666667,-71.09726666666667,8.3,327236.54529488075,4689785.235606393,19.0,T
1644338347645897914,65,1644338347645046472,,42.34114833333334,-71.09727166666667,8.3,327236.12427008577,4689784.875624378,19.0,T
1644338348644265597,66,1644338348643821716,,42.341145,-71.097275,8.2,327235.8405435956,4689784.512255824,19.0,T
1644338349647349465,67,1644338349646907091,,42.341141666666665,-71.09727833333334,8.3,327235.5568170791,4689784.148887282,19.0,T
1644338350645278273,68,1644338350644888877,,42.34113833333333,-71.09728333333334,8.2,327235.1357921673,4689783.788905324,19.0,T
1644338351664780803,69,1644338351664188385,,42.341135,-71.09728666666666,8.3,327234.8520655843,4689783.42553681,19.0,T
1644338352647603571,70,1644338352647022247,,42.34113166666667,-71.09729,8.4,327234.56833897496,4689783.062168305,19.0,T
1644338353645766345,71,1644338353645375251,,42.34112833333333,-71.097295,8.4,327234.1473139484,4689782.702186404,19.0,T
1644338354648017152,72,1644338354647583007,,42.341125,-71.09729833333333,8.5,327233.8635872725,4689782.338817929,19.0,T
1644338355643605311,73,1644338355643174886,,42.341121666666666,-71.09730166666667,8.5,327233.57986057026,4689781.9754494615,19.0,T
1644338356648347079,74,1644338356647914648,,42.341118333333334,-71.09730666666667,8.5,327233.1588354311,4689781.615467616,19.0,T
1644338357647655994,75,1644338357647192478,,42.341115,-71.09731,8.5,327232.87510866247,4689781.252099177,19.0,T
1644338358649060342,76,1644338358648442506,,42.34111333333333,-71.09731166666667,8.5,327232.73324526637,4689781.070414961,19.0,T
1644338359649278072,77,1644338359648840188,,42.34111166666667,-71.09731333333333,8.5,327232.5913818653,4689780.888730749,19.0,T
1644338360644559714,78,1644338360644119977,,42.34111,-71.09731333333333,8.5,327232.5868168816,4689780.7036599135,19.0,T
1644338361644156089,79,1644338361643723011,,42.34110833333333,-71.097315,8.5,327232.4449534678,4689780.521975704,19.0,T
1644338362651997967,80,1644338362651571750,,42.34110833333333,-71.09731666666667,8.5,327232.3076550396,4689780.5253623305,19.0,T
1644338363652707075,81,1644338363651910305,,42.34110666666667,-71.09731833333333,8.5,327232.1657916171,4689780.343678126,19.0,T
1644338364650958780,82,1644338364650493144,,42.341105,-71.09732,8.5,327232.02392818534,4689780.161993923,19.0,T
1644338365653499835,83,1644338365652621030,,42.341103333333336,-71.09732166666667,8.5,327231.8820647466,4689779.980309725,19.0,T
1644338366653799767,84,1644338366653233051,,42.341103333333336,-71.09732333333334,8.5,327231.7447663095,4689779.983696362,19.0,T
1644338367654523124,85,1644338367654091119,,42.34110166666667,-71.097325,8.5,327231.6029028598,4689779.802012168,19.0,T
1644338368648380557,86,1644338368647538423,,42.3411,-71.09732666666666,8.4,327231.46103940514,4689779.620327976,19.0,T
1644338369669392827,87,1644338369668962001,,42.341098333333335,-71.09732833333334,8.4,327231.3191759413,4689779.438643787,19.0,T
1644338370670558846,88,1644338370670180082,,42.341096666666665,-71.09733,8.4,327231.17731247237,4689779.256959601,19.0,T
1644338371671484795,89,1644338371670891046,,42.341095,-71.09733166666666,8.4,327231.03544899425,4689779.075275419,19.0,T
1644338372656485308,90,1644338372656095743,,42.341095,-71.09733333333334,8.4,327230.8981505348,4689779.078662072,19.0,T
