%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1644337046035593799,189,1644337046035151720,,42.34068833333333,-71.09820833333333,8.4,327157.7021309458,4689735.699742613,19.0,T
1644337047021358783,190,1644337047020924568,,42.34068833333333,-71.09820833333333,8.4,327157.7021309458,4689735.699742613,19.0,T
1644337048014181687,191,1644337048013755559,,42.34068833333333,-71.09820833333333,8.4,327157.7021309458,4689735.699742613,19.0,T
1644337049019847250,192,1644337049019408941,,42.34068833333333,-71.09820833333333,8.4,327157.7021309458,4689735.699742613,19.0,T
1644337050036759694,193,1644337050036326885,,42.34068833333333,-71.09820833333333,8.4,327157.7021309458,4689735.699742613,19.0,T
1644337051020752511,194,1644337051020419597,,42.34068833333333,-71.09820833333333,8.4,327157.7021309458,4689735.699742613,19.0,T
1644337052022648288,195,1644337052021842718,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337053015511870,196,1644337053015124082,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337054016420702,197,1644337054016077518,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337055023476162,198,1644337055022791385,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337056022116503,199,1644337056021637678,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337057023541621,200,1644337057022969484,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337058023416443,201,1644337058022978544,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337059020309136,202,1644337059019868135,,42.34068833333333,-71.09821,8.4,327157.5648315931,4689735.703130679,19.0,T
1644337060025646617,203,1644337060025160789,,42.34068833333333,-71.09821,8.3,327157.5648315931,4689735.703130679,19.0,T
1644337061024812360,204,1644337061024368286,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337062025334324,205,1644337062024939060,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337063026030989,206,1644337063025588989,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337064020605275,207,1644337064020167827,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337065027926020,208,1644337065027451276,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337066027323542,209,1644337066026881456,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337067028175894,210,1644337067027599573,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337068028402273,211,1644337068027962207,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337069028932999,212,1644337069028497219,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337070029214211,213,1644337070028726339,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337071030926592,214,1644337071030313491,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337072024538143,215,1644337072024098873,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337073031060514,216,1644337073030621290,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337074047323429,217,1644337074046886205,,42.34068833333333,-71.09820833333333,8.3,327157.7021309458,4689735.699742613,19.0,T
1644337075048311421,218,1644337075047761678,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337076048405837,219,1644337076047961950,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337077049628229,220,1644337077049187898,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337078049518700,221,1644337078049078464,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337079035100077,222,1644337079034663438,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
1644337080049992760,223,1644337080049570560,,42.34068833333333,-71.09820833333333,8.2,327157.7021309458,4689735.699742613,19.0,T
